Source,Target,Weight
7929,8045,104
7929,7953,199
7929,8086,145
7929,8188,152
7929,8124,192
7929,8300,93
7929,7940,57
7929,8084,175
7929,8243,221
7929,7964,145
7929,8211,71
7929,8321,45
7929,8413,80
7929,8460,83
7929,7938,121
7929,8023,37
7929,7951,112
7929,8287,75
7929,7914,66
7929,7918,76
7929,7916,88
7929,7922,129
7929,7910,58
7929,7906,47
7929,7926,73
7929,7908,130
7929,7924,125
7929,7920,130
7929,7912,93
7931,8124,117
7931,7936,68
7931,8023,48
7931,7988,80
7931,8848,37
7931,8495,78
7931,7934,54
7931,8140,80
7931,8904,87
7931,8111,33
7931,7949,101
7931,10937,3
7931,8174,58
7931,7942,62
7931,8272,81
7931,8084,102
7931,7946,66
7931,8149,70
7931,7955,63
7931,8243,113
7931,8018,82
7931,7978,103
7931,8114,149
7931,7953,108
7931,8321,45
7931,7998,76
7931,8121,46
7931,8136,42
7931,7983,94
7931,7944,61
7931,8131,94
7931,8413,57
7931,8020,60
7931,7994,77
7931,8188,88
7931,9066,49
7931,8703,34
7931,8280,37
7931,7973,75
7931,8016,83
7931,7990,35
7931,8184,67
7931,10167,30
7931,8245,49
7931,8428,62
7931,8780,26
7931,8091,93
7931,8011,76
7931,8093,83
7931,8028,90
7931,8008,82
7931,7980,67
7931,7940,57
7931,7967,96
7931,7985,61
7931,8474,53
7931,8300,70
7931,8305,49
7931,8031,64
7931,9647,67
7931,7992,76
7931,7938,86
7931,8002,42
7931,8005,85
7931,8163,48
7931,8647,84
7931,8033,84
7931,8186,71
7931,8000,81
7931,8287,66
7931,8086,90
7931,8167,75
7931,10112,49
7931,7957,66
7931,7975,53
7931,8738,28
7931,8047,69
7931,8119,62
7931,8045,49
7931,7970,36
7931,8219,54
7931,8198,64
7931,8073,51
7931,8460,67
7931,7964,87
7931,8109,24
7931,8211,51
7931,7951,96
7931,7959,72
7931,7962,40
7931,16996,1
7931,8056,40
7931,7908,66
7931,7926,71
7931,7929,94
7931,7910,44
7931,7912,53
7931,7918,70
7931,7922,80
7931,7916,66
7931,7906,42
7931,7924,87
7931,7920,69
7931,7914,55
7934,7985,69
7934,8163,55
7934,8056,62
7934,8033,63
7934,8149,97
7934,8174,46
7934,7992,148
7934,7938,79
7934,7975,92
7934,7964,59
7934,8428,34
7934,8045,26
7934,7942,123
7934,8474,74
7934,8904,55
7934,10937,2
7934,8119,82
7934,7978,82
7934,8300,88
7934,8073,40
7934,7955,39
7934,10112,27
7934,8111,49
7934,8188,59
7934,8084,78
7934,8011,95
7934,7957,78
7934,7980,41
7934,8186,47
7934,7994,54
7934,8287,108
7934,8124,59
7934,8086,41
7934,8280,43
7934,8167,68
7934,8243,100
7934,7998,38
7934,8131,54
7934,8703,38
7934,8184,74
7934,8136,69
7934,8091,54
7934,8848,56
7934,8305,84
7934,8738,37
7934,8008,44
7934,7967,64
7934,7973,77
7934,8245,68
7934,8109,46
7934,8047,68
7934,8198,84
7934,8121,84
7934,9647,23
7934,8140,59
7934,8002,51
7934,9066,94
7934,8114,69
7934,8219,71
7934,7946,61
7934,8211,89
7934,8000,99
7934,8020,88
7934,10167,36
7934,7959,71
7934,8495,37
7934,7983,53
7934,7944,28
7934,8093,49
7934,8272,53
7934,7940,69
7934,8016,45
7934,8321,51
7934,7990,63
7934,7936,31
7934,7953,56
7934,8018,80
7934,7949,91
7934,8413,36
7934,8780,48
7934,8031,47
7934,7988,53
7934,8023,145
7934,7951,32
7934,8647,44
7934,7970,67
7934,8005,53
7934,8460,118
7934,8028,57
7934,7962,62
7934,7908,51
7934,7931,54
7934,7922,46
7934,7906,67
7934,7912,20
7934,7918,95
7934,7920,54
7934,7910,53
7934,7926,65
7934,7929,57
7934,7914,69
7934,7924,34
7934,7916,68
7936,8119,33
7936,8005,146
7936,8045,138
7936,8495,153
7936,8086,129
7936,8121,35
7936,7988,167
7936,8124,188
7936,8460,40
7936,7940,32
7936,8413,98
7936,8031,77
7936,8198,53
7936,8131,170
7936,7955,134
7936,8114,42
7936,8111,28
7936,8174,140
7936,8018,96
7936,8000,54
7936,8321,30
7936,8703,27
7936,7957,37
7936,7970,24
7936,8002,33
7936,7973,67
7936,8023,28
7936,7946,60
7936,8047,67
7936,8184,39
7936,8073,123
7936,8245,40
7936,8033,117
7936,8305,32
7936,7944,116
7936,7953,172
7936,8136,40
7936,8211,31
7936,8280,30
7936,8140,134
7936,7962,27
7936,8011,46
7936,8149,43
7936,7942,46
7936,7978,167
7936,9066,25
7936,7964,117
7936,8186,77
7936,8647,162
7936,8428,130
7936,7994,132
7936,7975,44
7936,8287,49
7936,7949,186
7936,7990,23
7936,8091,150
7936,8008,143
7936,8109,13
7936,7992,49
7936,7998,161
7936,8738,20
7936,8056,25
7936,8904,149
7936,10112,53
7936,8163,80
7936,8020,37
7936,9647,120
7936,8167,161
7936,10937,3
7936,8028,144
7936,7967,69
7936,7951,118
7936,8243,166
7936,8016,172
7936,7980,196
7936,8272,116
7936,8848,23
7936,7985,42
7936,8093,109
7936,8780,17
7936,7938,55
7936,7983,174
7936,8474,42
7936,8219,32
7936,10167,20
7936,7959,51
7936,8300,56
7936,8188,162
7936,8084,135
7936,7931,68
7936,7926,53
7936,7914,45
7936,7929,114
7936,7920,110
7936,7912,115
7936,7906,35
7936,7908,142
7936,7922,161
7936,7910,40
7936,7916,56
7936,7924,183
7936,7918,44
7936,7934,31
7938,8091,103
7938,8460,82
7938,8245,83
7938,8848,39
7938,7988,78
7938,7942,86
7938,8280,54
7938,8084,113
7938,8073,55
7938,10167,43
7938,8149,115
7938,8045,39
7938,7978,90
7938,8119,85
7938,8219,61
7938,8000,90
7938,8428,51
7938,7955,55
7938,8114,85
7938,8047,124
7938,10937,4
7938,8140,74
7938,10112,55
7938,8904,76
